target_id,receptor_id,ligand_id,label,pose_rank,docking_score,vina_rmsd_lb_from_best,vina_rmsd_ub_from_best,status,message,runtime_seconds,seed,software_version,pose_path,log_path
MK14,MK14_3K3J_aligned,MK14_active_L000215,active,1,-9.789,0.0,0.0,ok,vina_ok_parallel,109.792,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000215,active,2,-9.658,2.558,3.811,ok,vina_ok_parallel,109.792,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000215,active,3,-9.14,2.706,3.425,ok,vina_ok_parallel,109.792,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000215,active,4,-8.158,6.77,9.693,ok,vina_ok_parallel,109.792,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000215,active,5,-8.095,11.75,14.91,ok,vina_ok_parallel,109.792,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000255,active,1,-7.349,0.0,0.0,ok,vina_ok_parallel,325.591,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000255,active,2,-7.232,3.42,8.028,ok,vina_ok_parallel,325.591,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000255,active,3,-7.095,2.442,3.84,ok,vina_ok_parallel,325.591,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000255,active,4,-7.074,3.325,7.165,ok,vina_ok_parallel,325.591,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000255,active,5,-6.941,4.285,8.363,ok,vina_ok_parallel,325.591,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000297,active,1,-12.3,0.0,0.0,ok,vina_ok_parallel,208.42,20260720,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000297_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000297_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000297,active,2,-11.92,1.242,4.186,ok,vina_ok_parallel,208.42,20260720,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000297_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000297_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000297,active,3,-10.85,5.529,11.82,ok,vina_ok_parallel,208.42,20260720,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000297_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000297_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000297,active,4,-10.43,4.603,9.35,ok,vina_ok_parallel,208.42,20260720,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000297_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000297_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000297,active,5,-10.13,5.655,12.28,ok,vina_ok_parallel,208.42,20260720,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000297_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000297_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000318,active,1,-9.602,0.0,0.0,ok,vina_ok_parallel,194.231,20260721,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000318_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000318_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000318,active,2,-9.24,1.589,2.589,ok,vina_ok_parallel,194.231,20260721,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000318_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000318_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000318,active,3,-8.822,2.166,5.033,ok,vina_ok_parallel,194.231,20260721,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000318_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000318_vina.log
MK14,MK14_3K3J_aligned,MK14_active_L000318,active,4,-8.705,3.726,7.872,ok,vina_ok_parallel,194.231,20260721,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/poses/MK14_active_L000318_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_3K3J_aligned/logs/MK14_active_L000318_vina.log
