target_id,receptor_id,ligand_id,label,pose_rank,docking_score,vina_rmsd_lb_from_best,vina_rmsd_ub_from_best,status,message,runtime_seconds,seed,software_version,pose_path,log_path
MK14,MK14_1A9U_aligned,MK14_active_L000215,active,1,-8.955,0.0,0.0,ok,vina_ok_parallel,161.011,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000215,active,2,-8.919,2.052,2.606,ok,vina_ok_parallel,161.011,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000215,active,3,-8.648,2.789,4.461,ok,vina_ok_parallel,161.011,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000215,active,4,-8.626,4.409,9.854,ok,vina_ok_parallel,161.011,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000215,active,5,-8.305,4.784,8.796,ok,vina_ok_parallel,161.011,20260718,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000215_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000215_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000255,active,1,-7.777,0.0,0.0,ok,vina_ok_parallel,343.603,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000255,active,2,-7.218,3.7,6.305,ok,vina_ok_parallel,343.603,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000255,active,3,-7.177,3.842,8.716,ok,vina_ok_parallel,343.603,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000255,active,4,-7.138,3.612,6.402,ok,vina_ok_parallel,343.603,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000255_vina.log
MK14,MK14_1A9U_aligned,MK14_active_L000255,active,5,-7.048,4.053,7.265,ok,vina_ok_parallel,343.603,20260719,AutoDock Vina v1.2.7,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/poses/MK14_active_L000255_docked.pdbqt,results/runs/stage05_mk14_train_execution_pilot/docking/MK14_1A9U_aligned/logs/MK14_active_L000255_vina.log
