seed_id,base_seed,seed_offset,pair_seed,receptor_id,ligand_id,label,gpu_vinagpu21_score,pose_count,output_pose_sha256
seed0,20260801,0,20260801,MK14_2BAJ_aligned,MK14_active_L000005,active,-9.7,9,713928485BDA50E79F68E5A54C8D16780A456B67DFBBE68D592C73E479A2FB9D
seed0,20260801,1,20260802,MK14_2BAJ_aligned,MK14_active_L000008,active,-14.1,9,FF4DC0CF7B8EE232DE49BDA73421D551B3A54F009223A08FDE71A221D4ABBB81
seed0,20260801,2,20260803,MK14_2BAJ_aligned,MK14_active_L000018,active,-9.8,9,AA4D47AF178BA7163098ECD6A42F0B314C39FA152FDC33ED108E7C9D444D0976
seed0,20260801,3,20260804,MK14_2BAJ_aligned,MK14_active_L000036,active,-10.5,9,37838917D37BED263BCACBBA2A13BF9224EFA52058052B5E221194CA2EF6F856
seed0,20260801,4,20260805,MK14_2BAJ_aligned,MK14_active_L000040,active,-8.7,9,8B12829C961E7503640F5A7FB642BEFB39804D435B945BAB50263F8B36B7B249
seed0,20260801,5,20260806,MK14_2BAJ_aligned,MK14_active_L000043,active,-8.8,9,47B79223AFA29A6B565EA5C7F0DF72E49C1331B6B58660F9EBACA267C8995014
seed0,20260801,6,20260807,MK14_2BAJ_aligned,MK14_active_L000046,active,-9.4,9,0656F9426E7B32B075D367DE0EBB478032A3B8B8B23FE001E0DB2C00A58D257F
seed0,20260801,7,20260808,MK14_2BAJ_aligned,MK14_active_L000051,active,-10.7,9,8926CB5423F015139B2B9B56FC9F1025C0BCBD8E020B12306E3C4F7AA23E9B9C
seed0,20260801,8,20260809,MK14_2BAJ_aligned,MK14_active_L000056,active,-10.3,9,253C81F3764AF83D3BE5C37A2F147ABA22D4A38605FC4B2DBEE5B845C557E6D0
seed0,20260801,9,20260810,MK14_2BAJ_aligned,MK14_active_L000078,active,-8.4,9,D76DE2E9E88A37E5A8A326DE3A07EC0E9023619F2085DEE0500166087E6C1FBA
seed0,20260801,10,20260811,MK14_2BAJ_aligned,MK14_active_L000082,active,-9.3,9,D6FD21D7C6E92C9782834CEDA43F0099EA5B46BDD7F028F658EDFF29A50E3339
seed0,20260801,11,20260812,MK14_2BAJ_aligned,MK14_active_L000084,active,-13.0,9,DFF47B3BFE5D84BCA55393D6BF7338A93083C9BCC5443DD41C5688CBEBFB6A87
seed0,20260801,12,20260813,MK14_2BAJ_aligned,MK14_active_L000086,active,-9.9,9,5E22340E64D1E5E69B8AB1AE9FA80C611294B817FA25CEF1D4F736823A4385C3
seed0,20260801,13,20260814,MK14_2BAJ_aligned,MK14_active_L000090,active,-9.1,9,1BB05C28D5497F8937845363E07147D42B96E6FF91C5B876B9C5B2E35F61F775
seed0,20260801,14,20260815,MK14_2BAJ_aligned,MK14_active_L000094,active,-9.6,9,CFDCAF7B6261E451BD7A379EDC1526774D1C173E586C028BF79C64FC9B7153E7
seed0,20260801,15,20260816,MK14_2BAJ_aligned,MK14_active_L000098,active,-9.4,9,014CC98A2ABA701B0B558B7990C283EB2979EDBF819FB997918C0E42E4A1797B
