target_id,ligand_id,label,receptor_id,representative_score,representative_method,status,pose_count,best_pose_rank,best_docking_score,ranking_score,ligand_median_score,delta_from_ligand_median,search_quality_warning,search_quality_warning_reasons
MK14,MK14_active_L000002,active,MK14_1A9U_aligned,-7.563,pose_rank_1,ok,1,1,-7.563,7.563,-7.5485,-0.0145,False,
MK14,MK14_active_L000002,active,MK14_2QD9_reference,-7.677,pose_rank_1,ok,1,1,-7.677,7.677,-7.5485,-0.1285,False,
MK14,MK14_active_L000002,active,MK14_3K3J_aligned,-7.218,pose_rank_1,ok,1,1,-7.218,7.218,-7.5485,0.3305,False,
MK14,MK14_active_L000002,active,MK14_3KQ7_aligned,-7.534,pose_rank_1,ok,1,1,-7.534,7.534,-7.5485,0.0145,False,
MK14,MK14_active_L000003,active,MK14_1A9U_aligned,-9.135,pose_rank_1,ok,1,1,-9.135,9.135,-10.1725,1.0375,False,
MK14,MK14_active_L000003,active,MK14_2QD9_reference,-9.275,pose_rank_1,ok,1,1,-9.275,9.275,-10.1725,0.8975,False,
MK14,MK14_active_L000003,active,MK14_3K3J_aligned,-11.07,pose_rank_1,ok,1,1,-11.07,11.07,-10.1725,-0.8975,False,
MK14,MK14_active_L000003,active,MK14_3KQ7_aligned,-11.15,pose_rank_1,ok,1,1,-11.15,11.15,-10.1725,-0.9775,False,
MK14,MK14_active_L000004,active,MK14_1A9U_aligned,-6.689,pose_rank_1,ok,1,1,-6.689,6.689,-6.3635,-0.3255,False,
MK14,MK14_active_L000004,active,MK14_2QD9_reference,-6.248,pose_rank_1,ok,1,1,-6.248,6.248,-6.3635,0.1155,False,
MK14,MK14_active_L000004,active,MK14_3K3J_aligned,-5.789,pose_rank_1,ok,1,1,-5.789,5.789,-6.3635,0.5745,False,
MK14,MK14_active_L000004,active,MK14_3KQ7_aligned,-6.479,pose_rank_1,ok,1,1,-6.479,6.479,-6.3635,-0.1155,False,
MK14,MK14_active_L000005,active,MK14_1A9U_aligned,-8.584,pose_rank_1,ok,1,1,-8.584,8.584,-8.8645,0.2805,False,
