target_id,ligand_id,label,receptor_id,representative_score,representative_method,status,pose_count,best_pose_rank,best_docking_score,ranking_score,ligand_median_score,delta_from_ligand_median,search_quality_warning,search_quality_warning_reasons
MK14,MK14_active_L000002,active,MK14_1A9U_aligned,-7.563,pose_rank_1,ok,1,1,-7.563,7.563,-7.3985,-0.1645,False,
MK14,MK14_active_L000002,active,MK14_2QD9_reference,-7.245,pose_rank_1,ok,1,1,-7.245,7.245,-7.3985,0.1535,False,
MK14,MK14_active_L000002,active,MK14_3K3J_aligned,-7.205,pose_rank_1,ok,1,1,-7.205,7.205,-7.3985,0.1935,False,
MK14,MK14_active_L000002,active,MK14_3KQ7_aligned,-7.552,pose_rank_1,ok,1,1,-7.552,7.552,-7.3985,-0.1535,False,
MK14,MK14_active_L000003,active,MK14_1A9U_aligned,-9.156,pose_rank_1,ok,1,1,-9.156,9.156,-10.985,1.829,False,
MK14,MK14_active_L000003,active,MK14_2QD9_reference,-10.9,pose_rank_1,ok,1,1,-10.9,10.9,-10.985,0.085,False,
MK14,MK14_active_L000003,active,MK14_3K3J_aligned,-11.07,pose_rank_1,ok,1,1,-11.07,11.07,-10.985,-0.085,False,
MK14,MK14_active_L000003,active,MK14_3KQ7_aligned,-11.17,pose_rank_1,ok,1,1,-11.17,11.17,-10.985,-0.185,False,
MK14,MK14_active_L000004,active,MK14_1A9U_aligned,-6.584,pose_rank_1,ok,1,1,-6.584,6.584,-6.3485,-0.2355,False,
MK14,MK14_active_L000004,active,MK14_2QD9_reference,-6.268,pose_rank_1,ok,1,1,-6.268,6.268,-6.3485,0.0805,False,
MK14,MK14_active_L000004,active,MK14_3K3J_aligned,-5.814,pose_rank_1,ok,1,1,-5.814,5.814,-6.3485,0.5345,False,
MK14,MK14_active_L000004,active,MK14_3KQ7_aligned,-6.429,pose_rank_1,ok,1,1,-6.429,6.429,-6.3485,-0.0805,False,
MK14,MK14_active_L000005,active,MK14_1A9U_aligned,-8.657,pose_rank_1,ok,1,1,-8.657,8.657,-8.9285,0.2715,False,
MK14,MK14_active_L000005,active,MK14_2QD9_reference,-8.171,pose_rank_1,ok,1,1,-8.171,8.171,-8.9285,0.7575,False,
MK14,MK14_active_L000005,active,MK14_3K3J_aligned,-9.2,pose_rank_1,ok,1,1,-9.2,9.2,-8.9285,-0.2715,False,
MK14,MK14_active_L000005,active,MK14_3KQ7_aligned,-9.42,pose_rank_1,ok,1,1,-9.42,9.42,-8.9285,-0.4915,False,
MK14,MK14_active_L000008,active,MK14_1A9U_aligned,-10.22,pose_rank_1,ok,1,1,-10.22,10.22,-10.515,0.295,False,
MK14,MK14_active_L000008,active,MK14_2QD9_reference,-9.022,pose_rank_1,ok,1,1,-9.022,9.022,-10.515,1.493,False,
MK14,MK14_active_L000008,active,MK14_3K3J_aligned,-10.81,pose_rank_1,ok,1,1,-10.81,10.81,-10.515,-0.295,False,
MK14,MK14_active_L000008,active,MK14_3KQ7_aligned,-11.94,pose_rank_1,ok,1,1,-11.94,11.94,-10.515,-1.425,False,
MK14,MK14_active_L000018,active,MK14_1A9U_aligned,-9.005,pose_rank_1,ok,1,1,-9.005,9.005,-9.7375,0.7325,False,
MK14,MK14_active_L000018,active,MK14_2QD9_reference,-10.47,pose_rank_1,ok,1,1,-10.47,10.47,-9.7375,-0.7325,False,
MK14,MK14_active_L000018,active,MK14_3K3J_aligned,-8.333,pose_rank_1,ok,1,1,-8.333,8.333,-9.7375,1.4045,False,
MK14,MK14_active_L000018,active,MK14_3KQ7_aligned,-11.38,pose_rank_1,ok,1,1,-11.38,11.38,-9.7375,-1.6425,False,
MK14,MK14_active_L000019,active,MK14_1A9U_aligned,-9.194,pose_rank_1,ok,1,1,-9.194,9.194,-9.2315,0.0375,False,
MK14,MK14_active_L000019,active,MK14_2QD9_reference,-9.269,pose_rank_1,ok,1,1,-9.269,9.269,-9.2315,-0.0375,False,
MK14,MK14_active_L000019,active,MK14_3K3J_aligned,-9.384,pose_rank_1,ok,1,1,-9.384,9.384,-9.2315,-0.1525,False,
MK14,MK14_active_L000019,active,MK14_3KQ7_aligned,-8.375,pose_rank_1,ok,1,1,-8.375,8.375,-9.2315,0.8565,False,
